,AREA_NAME,CRIME_GROUP,YEAR,Arrests,Reports,Population,SqMile,Arrests_Per_SqMile,Arrests_Per_10k_Pop,Reports_Per_SqMile,Reports_Per_10k_Pop
41,77TH STREET,Burglary,2023,39,268.0,175000,11.9,3.28,2.23,22.52,15.31
42,77TH STREET,Disorderly Conduct,2010,23,1.0,175000,11.9,1.93,1.31,0.08,0.06
43,77TH STREET,Disorderly Conduct,2011,12,1.0,175000,11.9,1.01,0.69,0.08,0.06
44,77TH STREET,Disorderly Conduct,2012,21,2.0,175000,11.9,1.76,1.2,0.17,0.11
45,77TH STREET,Disorderly Conduct,2013,34,6.0,175000,11.9,2.86,1.94,0.5,0.34
46,77TH STREET,Disorderly Conduct,2014,49,0.0,175000,11.9,4.12,2.8,0.0,0.0
47,77TH STREET,Disorderly Conduct,2015,23,1.0,175000,11.9,1.93,1.31,0.08,0.06
48,77TH STREET,Disorderly Conduct,2016,33,0.0,175000,11.9,2.77,1.89,0.0,0.0
49,77TH STREET,Disorderly Conduct,2017,13,1.0,175000,11.9,1.09,0.74,0.08,0.06
50,77TH STREET,Disorderly Conduct,2018,9,0.0,175000,11.9,0.76,0.51,0.0,0.0
51,77TH STREET,Disorderly Conduct,2019,11,1.0,175000,11.9,0.92,0.63,0.08,0.06
52,77TH STREET,Disorderly Conduct,2020,12,0.0,175000,11.9,1.01,0.69,0.0,0.0
53,77TH STREET,Disorderly Conduct,2021,11,2.0,175000,11.9,0.92,0.63,0.17,0.11
54,77TH STREET,Disorderly Conduct,2022,4,0.0,175000,11.9,0.34,0.23,0.0,0.0
55,77TH STREET,Disorderly Conduct,2023,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
56,77TH STREET,Disturbing the Peace,2010,13,5.0,175000,11.9,1.09,0.74,0.42,0.29
57,77TH STREET,Disturbing the Peace,2011,12,2.0,175000,11.9,1.01,0.69,0.17,0.11
58,77TH STREET,Disturbing the Peace,2012,8,6.0,175000,11.9,0.67,0.46,0.5,0.34
59,77TH STREET,Disturbing the Peace,2013,5,4.0,175000,11.9,0.42,0.29,0.34,0.23
60,77TH STREET,Disturbing the Peace,2014,8,6.0,175000,11.9,0.67,0.46,0.5,0.34
61,77TH STREET,Disturbing the Peace,2015,4,7.0,175000,11.9,0.34,0.23,0.59,0.4
62,77TH STREET,Disturbing the Peace,2016,3,8.0,175000,11.9,0.25,0.17,0.67,0.46
63,77TH STREET,Disturbing the Peace,2017,1,7.0,175000,11.9,0.08,0.06,0.59,0.4
64,77TH STREET,Disturbing the Peace,2018,2,4.0,175000,11.9,0.17,0.11,0.34,0.23
65,77TH STREET,Disturbing the Peace,2019,4,4.0,175000,11.9,0.34,0.23,0.34,0.23
66,77TH STREET,Disturbing the Peace,2020,2,0.0,175000,11.9,0.17,0.11,0.0,0.0
67,77TH STREET,Driving Under Influence,2010,828,0.0,175000,11.9,69.58,47.31,0.0,0.0
68,77TH STREET,Driving Under Influence,2011,786,0.0,175000,11.9,66.05,44.91,0.0,0.0
69,77TH STREET,Driving Under Influence,2012,672,0.0,175000,11.9,56.47,38.4,0.0,0.0
70,77TH STREET,Driving Under Influence,2013,853,0.0,175000,11.9,71.68,48.74,0.0,0.0
71,77TH STREET,Driving Under Influence,2014,824,0.0,175000,11.9,69.24,47.09,0.0,0.0
72,77TH STREET,Driving Under Influence,2015,805,0.0,175000,11.9,67.65,46.0,0.0,0.0
73,77TH STREET,Driving Under Influence,2016,605,0.0,175000,11.9,50.84,34.57,0.0,0.0
74,77TH STREET,Driving Under Influence,2017,563,0.0,175000,11.9,47.31,32.17,0.0,0.0
75,77TH STREET,Driving Under Influence,2018,593,0.0,175000,11.9,49.83,33.89,0.0,0.0
76,77TH STREET,Driving Under Influence,2019,507,0.0,175000,11.9,42.61,28.97,0.0,0.0
77,77TH STREET,Driving Under Influence,2020,510,0.0,175000,11.9,42.86,29.14,0.0,0.0
78,77TH STREET,Driving Under Influence,2021,513,0.0,175000,11.9,43.11,29.31,0.0,0.0
79,77TH STREET,Driving Under Influence,2022,348,0.0,175000,11.9,29.24,19.89,0.0,0.0
80,77TH STREET,Driving Under Influence,2023,184,0.0,175000,11.9,15.46,10.51,0.0,0.0
81,77TH STREET,Drunkeness,2010,403,0.0,175000,11.9,33.87,23.03,0.0,0.0
82,77TH STREET,Drunkeness,2011,264,0.0,175000,11.9,22.18,15.09,0.0,0.0
83,77TH STREET,Drunkeness,2012,497,0.0,175000,11.9,41.76,28.4,0.0,0.0
84,77TH STREET,Drunkeness,2013,325,0.0,175000,11.9,27.31,18.57,0.0,0.0
85,77TH STREET,Drunkeness,2014,78,0.0,175000,11.9,6.55,4.46,0.0,0.0
86,77TH STREET,Drunkeness,2015,130,0.0,175000,11.9,10.92,7.43,0.0,0.0
87,77TH STREET,Drunkeness,2016,207,0.0,175000,11.9,17.39,11.83,0.0,0.0
88,77TH STREET,Drunkeness,2017,20,0.0,175000,11.9,1.68,1.14,0.0,0.0
89,77TH STREET,Drunkeness,2018,18,0.0,175000,11.9,1.51,1.03,0.0,0.0
90,77TH STREET,Drunkeness,2019,14,0.0,175000,11.9,1.18,0.8,0.0,0.0
91,77TH STREET,Drunkeness,2020,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
92,77TH STREET,Drunkeness,2021,4,0.0,175000,11.9,0.34,0.23,0.0,0.0
93,77TH STREET,Drunkeness,2022,2,0.0,175000,11.9,0.17,0.11,0.0,0.0
94,77TH STREET,Federal Offenses,2010,4,78.0,175000,11.9,0.34,0.23,6.55,4.46
95,77TH STREET,Federal Offenses,2011,1,134.0,175000,11.9,0.08,0.06,11.26,7.66
96,77TH STREET,Federal Offenses,2012,4,152.0,175000,11.9,0.34,0.23,12.77,8.69
97,77TH STREET,Federal Offenses,2013,3,161.0,175000,11.9,0.25,0.17,13.53,9.2
98,77TH STREET,Federal Offenses,2014,2,89.0,175000,11.9,0.17,0.11,7.48,5.09
99,77TH STREET,Federal Offenses,2015,3,85.0,175000,11.9,0.25,0.17,7.14,4.86
100,77TH STREET,Federal Offenses,2016,3,64.0,175000,11.9,0.25,0.17,5.38,3.66
101,77TH STREET,Federal Offenses,2018,1,38.0,175000,11.9,0.08,0.06,3.19,2.17
102,77TH STREET,Federal Offenses,2019,1,40.0,175000,11.9,0.08,0.06,3.36,2.29
103,77TH STREET,Federal Offenses,2020,3,24.0,175000,11.9,0.25,0.17,2.02,1.37
104,77TH STREET,Federal Offenses,2022,4,21.0,175000,11.9,0.34,0.23,1.76,1.2
105,77TH STREET,Federal Offenses,2023,1,8.0,175000,11.9,0.08,0.06,0.67,0.46
106,77TH STREET,Forgery/Counterfeit,2010,48,2.0,175000,11.9,4.03,2.74,0.17,0.11
107,77TH STREET,Forgery/Counterfeit,2011,52,1.0,175000,11.9,4.37,2.97,0.08,0.06
108,77TH STREET,Forgery/Counterfeit,2012,50,0.0,175000,11.9,4.2,2.86,0.0,0.0
109,77TH STREET,Forgery/Counterfeit,2013,36,2.0,175000,11.9,3.03,2.06,0.17,0.11
110,77TH STREET,Forgery/Counterfeit,2014,42,3.0,175000,11.9,3.53,2.4,0.25,0.17
111,77TH STREET,Forgery/Counterfeit,2015,42,8.0,175000,11.9,3.53,2.4,0.67,0.46
112,77TH STREET,Forgery/Counterfeit,2016,47,3.0,175000,11.9,3.95,2.69,0.25,0.17
113,77TH STREET,Forgery/Counterfeit,2017,41,2.0,175000,11.9,3.45,2.34,0.17,0.11
114,77TH STREET,Forgery/Counterfeit,2018,25,4.0,175000,11.9,2.1,1.43,0.34,0.23
115,77TH STREET,Forgery/Counterfeit,2019,18,4.0,175000,11.9,1.51,1.03,0.34,0.23
116,77TH STREET,Forgery/Counterfeit,2020,6,0.0,175000,11.9,0.5,0.34,0.0,0.0
117,77TH STREET,Forgery/Counterfeit,2021,4,0.0,175000,11.9,0.34,0.23,0.0,0.0
118,77TH STREET,Forgery/Counterfeit,2022,6,0.0,175000,11.9,0.5,0.34,0.0,0.0
119,77TH STREET,Forgery/Counterfeit,2023,1,1.0,175000,11.9,0.08,0.06,0.08,0.06
120,77TH STREET,Fraud/Embezzlement,2010,53,760.0,175000,11.9,4.45,3.03,63.87,43.43
121,77TH STREET,Fraud/Embezzlement,2011,55,834.0,175000,11.9,4.62,3.14,70.08,47.66
122,77TH STREET,Fraud/Embezzlement,2012,46,822.0,175000,11.9,3.87,2.63,69.08,46.97
123,77TH STREET,Fraud/Embezzlement,2013,69,744.0,175000,11.9,5.8,3.94,62.52,42.51
124,77TH STREET,Fraud/Embezzlement,2014,56,814.0,175000,11.9,4.71,3.2,68.4,46.51
125,77TH STREET,Fraud/Embezzlement,2015,63,856.0,175000,11.9,5.29,3.6,71.93,48.91
126,77TH STREET,Fraud/Embezzlement,2016,61,747.0,175000,11.9,5.13,3.49,62.77,42.69
127,77TH STREET,Fraud/Embezzlement,2017,77,700.0,175000,11.9,6.47,4.4,58.82,40.0
128,77TH STREET,Fraud/Embezzlement,2018,55,648.0,175000,11.9,4.62,3.14,54.45,37.03
129,77TH STREET,Fraud/Embezzlement,2019,34,663.0,175000,11.9,2.86,1.94,55.71,37.89
130,77TH STREET,Fraud/Embezzlement,2020,16,520.0,175000,11.9,1.34,0.91,43.7,29.71
131,77TH STREET,Fraud/Embezzlement,2021,19,624.0,175000,11.9,1.6,1.09,52.44,35.66
132,77TH STREET,Fraud/Embezzlement,2022,12,2111.0,175000,11.9,1.01,0.69,177.39,120.63
133,77TH STREET,Fraud/Embezzlement,2023,10,702.0,175000,11.9,0.84,0.57,58.99,40.11
134,77TH STREET,Gambling,2010,6,0.0,175000,11.9,0.5,0.34,0.0,0.0
135,77TH STREET,Gambling,2011,28,0.0,175000,11.9,2.35,1.6,0.0,0.0
136,77TH STREET,Gambling,2012,21,0.0,175000,11.9,1.76,1.2,0.0,0.0
137,77TH STREET,Gambling,2013,19,0.0,175000,11.9,1.6,1.09,0.0,0.0
138,77TH STREET,Gambling,2014,15,0.0,175000,11.9,1.26,0.86,0.0,0.0
139,77TH STREET,Gambling,2015,10,0.0,175000,11.9,0.84,0.57,0.0,0.0
140,77TH STREET,Gambling,2016,2,0.0,175000,11.9,0.17,0.11,0.0,0.0
141,77TH STREET,Gambling,2021,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
142,77TH STREET,Gambling,2022,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
143,77TH STREET,Gambling,2023,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
144,77TH STREET,Homicide,2010,31,39.0,175000,11.9,2.61,1.77,3.28,2.23
145,77TH STREET,Homicide,2011,32,32.0,175000,11.9,2.69,1.83,2.69,1.83
146,77TH STREET,Homicide,2012,47,53.0,175000,11.9,3.95,2.69,4.45,3.03
147,77TH STREET,Homicide,2013,35,40.0,175000,11.9,2.94,2.0,3.36,2.29
148,77TH STREET,Homicide,2014,45,50.0,175000,11.9,3.78,2.57,4.2,2.86
149,77TH STREET,Homicide,2015,36,54.0,175000,11.9,3.03,2.06,4.54,3.09
150,77TH STREET,Homicide,2016,34,45.0,175000,11.9,2.86,1.94,3.78,2.57
151,77TH STREET,Homicide,2017,49,49.0,175000,11.9,4.12,2.8,4.12,2.8
152,77TH STREET,Homicide,2018,41,44.0,175000,11.9,3.45,2.34,3.7,2.51
153,77TH STREET,Homicide,2019,22,37.0,175000,11.9,1.85,1.26,3.11,2.11
154,77TH STREET,Homicide,2020,40,57.0,175000,11.9,3.36,2.29,4.79,3.26
155,77TH STREET,Homicide,2021,52,63.0,175000,11.9,4.37,2.97,5.29,3.6
156,77TH STREET,Homicide,2022,41,54.0,175000,11.9,3.45,2.34,4.54,3.09
157,77TH STREET,Homicide,2023,21,21.0,175000,11.9,1.76,1.2,1.76,1.2
158,77TH STREET,Larceny,2010,320,2369.0,175000,11.9,26.89,18.29,199.08,135.37
159,77TH STREET,Larceny,2011,463,2579.0,175000,11.9,38.91,26.46,216.72,147.37
160,77TH STREET,Larceny,2012,381,2786.0,175000,11.9,32.02,21.77,234.12,159.2
161,77TH STREET,Larceny,2013,349,2692.0,175000,11.9,29.33,19.94,226.22,153.83
162,77TH STREET,Larceny,2014,381,2555.0,175000,11.9,32.02,21.77,214.71,146.0
163,77TH STREET,Larceny,2015,295,2569.0,175000,11.9,24.79,16.86,215.88,146.8
164,77TH STREET,Larceny,2016,274,2901.0,175000,11.9,23.03,15.66,243.78,165.77
165,77TH STREET,Larceny,2017,167,2725.0,175000,11.9,14.03,9.54,228.99,155.71
166,77TH STREET,Larceny,2018,172,2859.0,175000,11.9,14.45,9.83,240.25,163.37
167,77TH STREET,Larceny,2019,163,2629.0,175000,11.9,13.7,9.31,220.92,150.23
168,77TH STREET,Larceny,2020,80,1962.0,175000,11.9,6.72,4.57,164.87,112.11
169,77TH STREET,Larceny,2021,63,1734.0,175000,11.9,5.29,3.6,145.71,99.09
170,77TH STREET,Larceny,2022,51,1960.0,175000,11.9,4.29,2.91,164.71,112.0
171,77TH STREET,Larceny,2023,39,1144.0,175000,11.9,3.28,2.23,96.13,65.37
172,77TH STREET,Liquor Laws,2010,14,0.0,175000,11.9,1.18,0.8,0.0,0.0
173,77TH STREET,Liquor Laws,2011,37,0.0,175000,11.9,3.11,2.11,0.0,0.0
174,77TH STREET,Liquor Laws,2012,37,0.0,175000,11.9,3.11,2.11,0.0,0.0
175,77TH STREET,Liquor Laws,2013,29,0.0,175000,11.9,2.44,1.66,0.0,0.0
176,77TH STREET,Liquor Laws,2014,17,0.0,175000,11.9,1.43,0.97,0.0,0.0
177,77TH STREET,Liquor Laws,2015,27,0.0,175000,11.9,2.27,1.54,0.0,0.0
178,77TH STREET,Liquor Laws,2016,24,0.0,175000,11.9,2.02,1.37,0.0,0.0
179,77TH STREET,Liquor Laws,2017,8,0.0,175000,11.9,0.67,0.46,0.0,0.0
180,77TH STREET,Liquor Laws,2018,3,0.0,175000,11.9,0.25,0.17,0.0,0.0
181,77TH STREET,Liquor Laws,2019,3,0.0,175000,11.9,0.25,0.17,0.0,0.0
182,77TH STREET,Liquor Laws,2020,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
183,77TH STREET,Miscellaneous Other Violations,2010,1243,2643.0,175000,11.9,104.45,71.03,222.1,151.03
184,77TH STREET,Miscellaneous Other Violations,2011,1296,2403.0,175000,11.9,108.91,74.06,201.93,137.31
185,77TH STREET,Miscellaneous Other Violations,2012,1323,2428.0,175000,11.9,111.18,75.6,204.03,138.74
186,77TH STREET,Miscellaneous Other Violations,2013,1257,2248.0,175000,11.9,105.63,71.83,188.91,128.46
187,77TH STREET,Miscellaneous Other Violations,2014,1072,2622.0,175000,11.9,90.08,61.26,220.34,149.83
188,77TH STREET,Miscellaneous Other Violations,2015,1007,2553.0,175000,11.9,84.62,57.54,214.54,145.89
189,77TH STREET,Miscellaneous Other Violations,2016,1021,2730.0,175000,11.9,85.8,58.34,229.41,156.0
190,77TH STREET,Miscellaneous Other Violations,2017,725,2736.0,175000,11.9,60.92,41.43,229.92,156.34
191,77TH STREET,Miscellaneous Other Violations,2018,771,2681.0,175000,11.9,64.79,44.06,225.29,153.2
192,77TH STREET,Miscellaneous Other Violations,2019,778,2517.0,175000,11.9,65.38,44.46,211.51,143.83
193,77TH STREET,Miscellaneous Other Violations,2020,529,2381.0,175000,11.9,44.45,30.23,200.08,136.06
194,77TH STREET,Miscellaneous Other Violations,2021,414,2361.0,175000,11.9,34.79,23.66,198.4,134.91
195,77TH STREET,Miscellaneous Other Violations,2022,367,2106.0,175000,11.9,30.84,20.97,176.97,120.34
196,77TH STREET,Miscellaneous Other Violations,2023,168,1092.0,175000,11.9,14.12,9.6,91.76,62.4
197,77TH STREET,Moving Traffic Violations,2010,505,1.0,175000,11.9,42.44,28.86,0.08,0.06
198,77TH STREET,Moving Traffic Violations,2011,631,0.0,175000,11.9,53.03,36.06,0.0,0.0
199,77TH STREET,Moving Traffic Violations,2012,695,2.0,175000,11.9,58.4,39.71,0.17,0.11
200,77TH STREET,Moving Traffic Violations,2013,721,4.0,175000,11.9,60.59,41.2,0.34,0.23
201,77TH STREET,Moving Traffic Violations,2014,523,0.0,175000,11.9,43.95,29.89,0.0,0.0
202,77TH STREET,Moving Traffic Violations,2015,542,3.0,175000,11.9,45.55,30.97,0.25,0.17
203,77TH STREET,Moving Traffic Violations,2016,429,2.0,175000,11.9,36.05,24.51,0.17,0.11
204,77TH STREET,Moving Traffic Violations,2017,363,3.0,175000,11.9,30.5,20.74,0.25,0.17
205,77TH STREET,Moving Traffic Violations,2018,360,6.0,175000,11.9,30.25,20.57,0.5,0.34
206,77TH STREET,Moving Traffic Violations,2019,264,7.0,175000,11.9,22.18,15.09,0.59,0.4
207,77TH STREET,Moving Traffic Violations,2020,123,4.0,175000,11.9,10.34,7.03,0.34,0.23
208,77TH STREET,Moving Traffic Violations,2021,150,2.0,175000,11.9,12.61,8.57,0.17,0.11
209,77TH STREET,Moving Traffic Violations,2022,134,4.0,175000,11.9,11.26,7.66,0.34,0.23
210,77TH STREET,Moving Traffic Violations,2023,70,5.0,175000,11.9,5.88,4.0,0.42,0.29
211,77TH STREET,Narcotic Drug Laws,2010,1411,0.0,175000,11.9,118.57,80.63,0.0,0.0
212,77TH STREET,Narcotic Drug Laws,2011,1263,0.0,175000,11.9,106.13,72.17,0.0,0.0
213,77TH STREET,Narcotic Drug Laws,2012,1149,0.0,175000,11.9,96.55,65.66,0.0,0.0
214,77TH STREET,Narcotic Drug Laws,2013,1015,0.0,175000,11.9,85.29,58.0,0.0,0.0
215,77TH STREET,Narcotic Drug Laws,2014,881,0.0,175000,11.9,74.03,50.34,0.0,0.0
216,77TH STREET,Narcotic Drug Laws,2015,603,0.0,175000,11.9,50.67,34.46,0.0,0.0
217,77TH STREET,Narcotic Drug Laws,2016,700,0.0,175000,11.9,58.82,40.0,0.0,0.0
218,77TH STREET,Narcotic Drug Laws,2017,452,0.0,175000,11.9,37.98,25.83,0.0,0.0
219,77TH STREET,Narcotic Drug Laws,2018,354,0.0,175000,11.9,29.75,20.23,0.0,0.0
220,77TH STREET,Narcotic Drug Laws,2019,287,0.0,175000,11.9,24.12,16.4,0.0,0.0
221,77TH STREET,Narcotic Drug Laws,2020,207,1.0,175000,11.9,17.39,11.83,0.08,0.06
222,77TH STREET,Narcotic Drug Laws,2021,110,0.0,175000,11.9,9.24,6.29,0.0,0.0
223,77TH STREET,Narcotic Drug Laws,2022,147,0.0,175000,11.9,12.35,8.4,0.0,0.0
224,77TH STREET,Narcotic Drug Laws,2023,71,0.0,175000,11.9,5.97,4.06,0.0,0.0
225,77TH STREET,Non-Criminal Detention,2010,149,0.0,175000,11.9,12.52,8.51,0.0,0.0
226,77TH STREET,Non-Criminal Detention,2011,103,0.0,175000,11.9,8.66,5.89,0.0,0.0
227,77TH STREET,Non-Criminal Detention,2012,134,0.0,175000,11.9,11.26,7.66,0.0,0.0
228,77TH STREET,Non-Criminal Detention,2013,85,0.0,175000,11.9,7.14,4.86,0.0,0.0
229,77TH STREET,Non-Criminal Detention,2014,53,0.0,175000,11.9,4.45,3.03,0.0,0.0
230,77TH STREET,Non-Criminal Detention,2015,66,0.0,175000,11.9,5.55,3.77,0.0,0.0
231,77TH STREET,Non-Criminal Detention,2016,29,0.0,175000,11.9,2.44,1.66,0.0,0.0
232,77TH STREET,Non-Criminal Detention,2017,26,0.0,175000,11.9,2.18,1.49,0.0,0.0
233,77TH STREET,Non-Criminal Detention,2018,23,0.0,175000,11.9,1.93,1.31,0.0,0.0
234,77TH STREET,Non-Criminal Detention,2019,18,0.0,175000,11.9,1.51,1.03,0.0,0.0
235,77TH STREET,Non-Criminal Detention,2020,28,0.0,175000,11.9,2.35,1.6,0.0,0.0
236,77TH STREET,Non-Criminal Detention,2021,11,0.0,175000,11.9,0.92,0.63,0.0,0.0
237,77TH STREET,Non-Criminal Detention,2022,20,0.0,175000,11.9,1.68,1.14,0.0,0.0
238,77TH STREET,Non-Criminal Detention,2023,9,0.0,175000,11.9,0.76,0.51,0.0,0.0
239,77TH STREET,Other Assaults,2010,419,2594.0,175000,11.9,35.21,23.94,217.98,148.23
240,77TH STREET,Other Assaults,2011,405,2536.0,175000,11.9,34.03,23.14,213.11,144.91
241,77TH STREET,Other Assaults,2012,396,2576.0,175000,11.9,33.28,22.63,216.47,147.2
242,77TH STREET,Other Assaults,2013,444,2548.0,175000,11.9,37.31,25.37,214.12,145.6
243,77TH STREET,Other Assaults,2014,373,2718.0,175000,11.9,31.34,21.31,228.4,155.31
244,77TH STREET,Other Assaults,2015,529,2687.0,175000,11.9,44.45,30.23,225.8,153.54
245,77TH STREET,Other Assaults,2016,588,2503.0,175000,11.9,49.41,33.6,210.34,143.03
246,77TH STREET,Other Assaults,2017,593,2651.0,175000,11.9,49.83,33.89,222.77,151.49
247,77TH STREET,Other Assaults,2018,582,2516.0,175000,11.9,48.91,33.26,211.43,143.77
248,77TH STREET,Other Assaults,2019,532,2405.0,175000,11.9,44.71,30.4,202.1,137.43
249,77TH STREET,Other Assaults,2020,501,2158.0,175000,11.9,42.1,28.63,181.34,123.31
250,77TH STREET,Other Assaults,2021,583,2060.0,175000,11.9,48.99,33.31,173.11,117.71
251,77TH STREET,Other Assaults,2022,522,2083.0,175000,11.9,43.87,29.83,175.04,119.03
252,77TH STREET,Other Assaults,2023,248,1202.0,175000,11.9,20.84,14.17,101.01,68.69
253,77TH STREET,Pre-Delinquency,2010,69,0.0,175000,11.9,5.8,3.94,0.0,0.0
254,77TH STREET,Pre-Delinquency,2011,129,0.0,175000,11.9,10.84,7.37,0.0,0.0
255,77TH STREET,Pre-Delinquency,2012,67,0.0,175000,11.9,5.63,3.83,0.0,0.0
256,77TH STREET,Pre-Delinquency,2013,37,0.0,175000,11.9,3.11,2.11,0.0,0.0
257,77TH STREET,Pre-Delinquency,2014,4,0.0,175000,11.9,0.34,0.23,0.0,0.0
258,77TH STREET,Pre-Delinquency,2015,12,0.0,175000,11.9,1.01,0.69,0.0,0.0
259,77TH STREET,Pre-Delinquency,2016,4,0.0,175000,11.9,0.34,0.23,0.0,0.0
260,77TH STREET,Pre-Delinquency,2017,8,0.0,175000,11.9,0.67,0.46,0.0,0.0
261,77TH STREET,Pre-Delinquency,2018,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
262,77TH STREET,Pre-Delinquency,2019,2,0.0,175000,11.9,0.17,0.11,0.0,0.0
263,77TH STREET,Pre-Delinquency,2020,2,0.0,175000,11.9,0.17,0.11,0.0,0.0
264,77TH STREET,Pre-Delinquency,2021,1,0.0,175000,11.9,0.08,0.06,0.0,0.0
265,77TH STREET,Prostitution/Allied,2010,633,12.0,175000,11.9,53.19,36.17,1.01,0.69
266,77TH STREET,Prostitution/Allied,2011,635,15.0,175000,11.9,53.36,36.29,1.26,0.86
267,77TH STREET,Prostitution/Allied,2012,440,22.0,175000,11.9,36.97,25.14,1.85,1.26
268,77TH STREET,Prostitution/Allied,2013,491,15.0,175000,11.9,41.26,28.06,1.26,0.86
269,77TH STREET,Prostitution/Allied,2014,471,19.0,175000,11.9,39.58,26.91,1.6,1.09
270,77TH STREET,Prostitution/Allied,2015,442,25.0,175000,11.9,37.14,25.26,2.1,1.43
271,77TH STREET,Prostitution/Allied,2016,486,17.0,175000,11.9,40.84,27.77,1.43,0.97
272,77TH STREET,Prostitution/Allied,2017,480,8.0,175000,11.9,40.34,27.43,0.67,0.46
273,77TH STREET,Prostitution/Allied,2018,737,4.0,175000,11.9,61.93,42.11,0.34,0.23
274,77TH STREET,Prostitution/Allied,2019,823,7.0,175000,11.9,69.16,47.03,0.59,0.4
